Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
157,Banaskanth,,Jowar(Sorghum),3600,5250,4425,15-07-2024
158,Banaskanth,,Jowar(Sorghum),3605,4540,4072.5,12-06-2024
159,Banaskanth,,Jowar(Sorghum),3700,3900,3800,06-08-2024
160,Banaskanth,,Jowar(Sorghum),3700,5000,4350,11-07-2024
161,Banaskanth,,Jowar(Sorghum),3705,4200,3952.5,13-06-2024
162,Banaskanth,,Jowar(Sorghum),3710,4755,4232.5,09-07-2024
163,Banaskanth,,Jowar(Sorghum),3750,3840,3795,24-09-2024
164,Banaskanth,,Jowar(Sorghum),3750,4005,3777.5,03-08-2024
165,Banaskanth,,Jowar(Sorghum),3750,4300,4025,02-07-2024
166,Banaskanth,,Jowar(Sorghum),3750,4305,4027.5,17-06-2024
167,Banaskanth,,Jowar(Sorghum),3750,4700,4225,24-06-2024
168,Banaskanth,,Jowar(Sorghum),3750,4705,4227.5,18-07-2024
169,Banaskanth,,Jowar(Sorghum),3750,5105,4427.5,22-07-2024
170,Banaskanth,,Jowar(Sorghum),3750,5340,4545,27-06-2024
171,Banaskanth,,Jowar(Sorghum),3775,3810,3792.5,19-07-2024
172,Banaskanth,,Jowar(Sorghum),3805,5430,4617.5,14-03-2024
173,Banaskanth,,Jowar(Sorghum),3830,4670,4250,14-06-2024
174,Banaskanth,,Jowar(Sorghum),3850,4650,4250,11-06-2024
175,Banaskanth,,Jowar(Sorghum),3850,4900,4375,21-08-2024
176,Banaskanth,,Jowar(Sorghum),3850,5250,4550,13-07-2024
177,Banaskanth,,Jowar(Sorghum),3860,5560,4710,12-07-2024
178,Banaskanth,,Jowar(Sorghum),3900,3925,3912.5,12-08-2024
179,Banaskanth,,Jowar(Sorghum),3900,4625,4262.5,15-06-2024
180,Banaskanth,,Jowar(Sorghum),3900,5300,4600,29-07-2024
181,Banaskanth,,Jowar(Sorghum),3905,4790,4347.5,23-07-2024
182,Banaskanth,,Jowar(Sorghum),3925,5175,4550,17-07-2024
183,Banaskanth,,Jowar(Sorghum),3940,4700,4320,18-06-2024
184,Banaskanth,,Jowar(Sorghum),3950,5325,4637.5,16-07-2024
185,Banaskanth,,Jowar(Sorghum),3970,4600,4285,05-06-2024
186,Banaskanth,,Jowar(Sorghum),4000,4000,4000,25-12-2024
187,Banaskanth,,Jowar(Sorghum),4000,5800,4900,28-02-2024
188,Banaskanth,,Jowar(Sorghum),4025,4980,4502.5,10-06-2024
189,Banaskanth,,Jowar(Sorghum),4050,5210,4630,03-07-2024
190,Banaskanth,,Jowar(Sorghum),4100,5250,4675,05-07-2024
191,Banaskanth,,Jowar(Sorghum),4100,5500,4800,04-07-2024
192,Banaskanth,,Jowar(Sorghum),4125,4250,4187.5,06-06-2024
193,Banaskanth,,Jowar(Sorghum),4150,6750,5450,29-06-2024
194,Banaskanth,,Jowar(Sorghum),4200,5155,4677.5,03-06-2024
195,Banaskanth,,Jowar(Sorghum),4200,5275,4737.5,26-06-2024
196,Banaskanth,,Jowar(Sorghum),4250,5400,4825,08-07-2024
