Sl no.,Centre Nane,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
236,Gonda,Masur Dal,8050,8200,8100,06-07-2024
237,Gonda,Masur Dal,8050,8200,8100,07-07-2024
238,Gonda,Masur Dal,8050,8200,8100,08-07-2024
239,Gonda,Masur Dal,8050,8200,8100,14-10-2024
240,Gonda,Masur Dal,8050,8200,8100,15-12-2024
241,Gonda,Masur Dal,8050,8200,8100,17-10-2024
242,Gonda,Masur Dal,8050,8200,8100,27-09-2024
243,Gonda,Masur Dal,8050,8200,8100,28-09-2024
244,Gonda,Masur Dal,8070,8130,8100,13-07-2024
245,Gonda,Masur Dal,8070,8150,8100,21-07-2024
246,Gonda,Masur Dal,8070,8150,8100,22-07-2024
247,Gonda,Masur Dal,8070,8200,8100,14-11-2024
248,Gonda,Masur Dal,8070,8200,8100,15-11-2024
249,Gonda,Masur Dal,8070,8200,8100,31-07-2024
250,Gonda,Masur Dal,8075,8125,8100,09-04-2024
251,Gonda,Masur Dal,8075,8125,8100,10-04-2024
252,Gonda,Masur Dal,8075,8125,8100,27-02-2024
253,Gonda,Masur Dal,8075,8125,8100,29-02-2024
254,Gonda,Masur Dal,8075,8150,8100,01-01-2024
255,Gonda,Masur Dal,8075,8150,8100,02-01-2024
256,Gonda,Masur Dal,8075,8150,8100,12-06-2024
257,Gonda,Masur Dal,8075,8150,8100,13-08-2024
258,Gonda,Masur Dal,8075,8150,8100,13-06-2024
259,Gonda,Masur Dal,8075,8150,8100,23-07-2024
260,Gonda,Masur Dal,8075,8200,8100,10-11-2024
261,Gonda,Masur Dal,8075,8200,8100,29-07-2024
262,Gonda,Masur Dal,8075,8200,8100,30-07-2024
263,Gonda,Masur Dal,8080,8125,8100,01-03-2024
264,Gonda,Masur Dal,8080,8125,8100,02-03-2024
265,Gonda,Masur Dal,8080,8200,8100,16-10-2024
266,Gonda,Masur Dal,8085,8150,8100,23-06-2024
267,Gonda,Masur Dal,8085,8150,8100,24-06-2024
268,Gonda,Masur Dal,8100,8150,8120,14-06-2024
269,Gonda,Masur Dal,8100,8150,8120,15-06-2024
270,Gonda,Masur Dal,8100,8150,8125,22-02-2024
271,Gonda,Masur Dal,8100,8150,8130,23-02-2024
272,Gonda,Masur Dal,8100,8200,8130,13-11-2024
273,Gonda,Masur Dal,8100,8200,8150,06-10-2024
274,Gonda,Masur Dal,8100,8200,8150,11-11-2024
275,Gonda,Masur Dal,8100,8200,8150,15-10-2024
276,Gonda,Masur Dal,8100,8200,8150,16-12-2024
277,Gonda,Masur Dal,8100,8200,8150,17-12-2024
278,Gonda,Masur Dal,8100,8250,8150,22-12-2024
279,Gonda,Masur Dal,8100,8250,8200,18-12-2024
280,Gonda,Masur Dal,8100,8250,8200,19-12-2024
281,Gonda,Masur Dal,8125,8200,8150,09-07-2024
282,Gonda,Masur Dal,8125,8200,8150,10-07-2024
283,Gonda,Masur Dal,8125,8200,8150,25-06-2024
284,Gonda,Masur Dal,8125,8200,8150,26-06-2024
285,Gonda,Masur Dal,8150,8220,8175,17-06-2024
286,Gonda,Masur Dal,8150,8220,8175,18-06-2024
287,Gonda,Masur Dal,8150,8300,8200,20-12-2024
288,Gonda,Masur Dal,8150,8300,8200,21-12-2024
289,Gonda,Masur Dal,8150,8300,8200,23-12-2024
290,Gonda,Masur Dal,8150,8300,8200,24-12-2024
291,Gonda,Masur Dal,8150,8300,8200,25-12-2024
292,Gonda,Masur Dal,8150,8300,8200,26-12-2024
293,Gonda,Masur Dal,8150,8300,8200,29-09-2024
294,Gonda,Masur Dal,8170,8300,8200,22-09-2024
295,Gonda,Masur Dal,8175,8250,8200,19-06-2024
296,Gonda,Masur Dal,8175,8250,8200,20-06-2024
297,Gonda,Masur Dal,8175,8250,8200,21-06-2024
298,Gonda,Masur Dal,8175,8250,8200,22-06-2024
299,Gonda,Masur Dal,8200,8300,8250,23-09-2024
300,Gonda,Masur Dal,8200,8350,8250,24-09-2024
301,Gonda,Masur Dal,8200,8350,8250,25-09-2024
302,Gonda,Masur Dal,8200,8350,8250,26-09-2024
303,Gonda,Masur Dal,8250,8400,8300,01-10-2024
304,Gonda,Masur Dal,8250,8400,8300,03-10-2024
305,Gonda,Masur Dal,8250,8400,8300,04-10-2024
306,Gonda,Masur Dal,8250,8400,8300,26-08-2024
307,Gonda,Masur Dal,8250,8400,8350,02-10-2024
308,Gonda,Masur Dal,8275,8350,8300,01-09-2024
309,Gonda,Masur Dal,8275,8350,8300,02-09-2024
310,Gonda,Masur Dal,8275,8350,8300,04-09-2024
311,Gonda,Masur Dal,8275,8350,8300,05-09-2024
312,Gonda,Masur Dal,8275,8350,8300,18-09-2024
313,Gonda,Masur Dal,8275,8350,8300,19-09-2024
314,Gonda,Masur Dal,8275,8350,8300,31-08-2024
315,Gonda,Masur Dal,8275,8400,8300,30-09-2024
316,Gonda,Masur Dal,8300,8500,8350,14-09-2024
317,Gonda,Masur Dal,8300,8500,8350,15-09-2024
318,Gonda,Masur Dal,8300,8500,8350,17-09-2024
319,Gonda,Masur Dal,8325,8400,8350,05-10-2024
320,Gonda,Masur Dal,8350,8450,8400,09-09-2024
321,Gonda,Masur Dal,8350,8450,8400,10-09-2024
322,Gonda,Masur Dal,8350,8450,8400,11-09-2024
323,Gonda,Masur Dal,8350,8450,8400,12-09-2024
324,Gonda,Masur Dal,8350,8450,8400,13-09-2024
325,Gonda,Masur Dal,8350,8500,8400,16-09-2024
326,Gonda,Masur Dal,8420,8550,8450,06-09-2024
327,Gonda,Masur Dal,8420,8550,8450,07-09-2024
328,Gonda,Masur Dal,8420,8550,8450,08-09-2024
329,Gonda,Masur Dal,8420,8550,8450,30-08-2024
330,Gonda,Masur Dal,8470,8600,8500,27-08-2024
331,Gonda,Masur Dal,8470,8600,8500,28-08-2024
