Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
177,Latur,,Jowar(Sorghum),1850,2501,2175,17-05-2024
178,Latur,,Jowar(Sorghum),1851,2251,2051,05-10-2024
179,Latur,,Jowar(Sorghum),1900,1900,1900,25-10-2024
180,Latur,,Jowar(Sorghum),1900,2000,1950,23-10-2024
181,Latur,,Jowar(Sorghum),1900,2140,2020,21-10-2024
182,Latur,,Jowar(Sorghum),1900,2150,2025,09-12-2024
183,Latur,,Jowar(Sorghum),1900,2450,2175,14-06-2024
184,Latur,,Jowar(Sorghum),1900,2951,2425,28-05-2024
185,Latur,,Jowar(Sorghum),1900,2990,2445,29-05-2024
186,Latur,,Jowar(Sorghum),1900,3000,2450,20-05-2024
187,Latur,,Jowar(Sorghum),1900,3050,2475,04-06-2024
188,Latur,,Jowar(Sorghum),1901,2001,1950,04-10-2024
189,Latur,,Jowar(Sorghum),1901,2051,1976,19-10-2024
190,Latur,,Jowar(Sorghum),1901,2300,2100,12-08-2024
191,Latur,,Jowar(Sorghum),1905,2550,2227,20-06-2024
192,Latur,,Jowar(Sorghum),1908,2991,2449,18-05-2024
193,Latur,,Jowar(Sorghum),1921,3041,2481,01-06-2024
194,Latur,,Jowar(Sorghum),1926,2175,2050,02-11-2024
195,Latur,,Jowar(Sorghum),1945,2176,2060,17-12-2024
196,Latur,,Jowar(Sorghum),1950,2200,2075,12-06-2024
197,Latur,,Jowar(Sorghum),1950,2325,2137,18-12-2024
198,Latur,,Jowar(Sorghum),1950,2400,1975,05-12-2024
199,Latur,,Jowar(Sorghum),1950,2570,2260,11-06-2024
200,Latur,,Jowar(Sorghum),1950,2700,2325,08-06-2024
201,Latur,,Jowar(Sorghum),1950,2701,2325,13-06-2024
202,Latur,,Jowar(Sorghum),1951,2751,2351,02-07-2024
203,Latur,,Jowar(Sorghum),1951,2851,2401,10-06-2024
204,Latur,,Jowar(Sorghum),1960,2400,2180,08-07-2024
205,Latur,,Jowar(Sorghum),1970,1970,1970,06-07-2024
206,Latur,,Jowar(Sorghum),1970,1970,1970,11-07-2024
207,Latur,,Jowar(Sorghum),1970,2955,2284,04-07-2024
208,Latur,,Jowar(Sorghum),1971,2050,2010,16-07-2024
209,Latur,,Jowar(Sorghum),1971,2080,2025,17-10-2024
210,Latur,,Jowar(Sorghum),1971,2341,2156,23-12-2024
211,Latur,,Jowar(Sorghum),1971,2751,2361,25-06-2024
212,Latur,,Jowar(Sorghum),1975,2086,2030,18-10-2024
213,Latur,,Jowar(Sorghum),1990,2251,2120,21-11-2024
214,Latur,,Jowar(Sorghum),2000,2000,2000,14-11-2024
215,Latur,,Jowar(Sorghum),2000,2000,2000,28-11-2024
216,Latur,,Jowar(Sorghum),2000,2050,2025,14-10-2024
217,Latur,,Jowar(Sorghum),2000,2080,2040,27-07-2024
218,Latur,,Jowar(Sorghum),2000,2100,2050,11-11-2024
219,Latur,,Jowar(Sorghum),2000,2111,2055,25-09-2024
220,Latur,,Jowar(Sorghum),2000,2126,2063,24-09-2024
221,Latur,,Jowar(Sorghum),2000,2137,2068,04-11-2024
222,Latur,,Jowar(Sorghum),2000,2140,2070,13-11-2024
223,Latur,,Jowar(Sorghum),2000,2150,2075,07-11-2024
224,Latur,,Jowar(Sorghum),2000,2150,2075,30-09-2024
225,Latur,,Jowar(Sorghum),2000,2152,2076,03-12-2024
226,Latur,,Jowar(Sorghum),2000,2250,2125,21-09-2024
227,Latur,,Jowar(Sorghum),2000,2260,2130,08-11-2024
228,Latur,,Jowar(Sorghum),2000,2299,2149,07-12-2024
229,Latur,,Jowar(Sorghum),2000,2351,2175,22-07-2024
230,Latur,,Jowar(Sorghum),2000,2381,2190,26-12-2024
231,Latur,,Jowar(Sorghum),2000,2400,2200,09-07-2024
232,Latur,,Jowar(Sorghum),2000,2490,2245,22-11-2024
233,Latur,,Jowar(Sorghum),2000,2600,2300,01-07-2024
234,Latur,,Jowar(Sorghum),2000,2700,2350,15-06-2024
235,Latur,,Jowar(Sorghum),2000,3001,2500,04-01-2024
236,Latur,,Jowar(Sorghum),2000,4000,3000,05-02-2024
237,Latur,,Jowar(Sorghum),2000,4100,3050,20-02-2024
238,Latur,,Jowar(Sorghum),2001,2250,2125,09-09-2024
239,Latur,,Jowar(Sorghum),2001,2295,2148,16-11-2024
240,Latur,,Jowar(Sorghum),2011,2150,2080,16-10-2024
241,Latur,,Jowar(Sorghum),2016,2171,2093,28-09-2024
242,Latur,,Jowar(Sorghum),2025,2076,2050,26-07-2024
243,Latur,,Jowar(Sorghum),2025,2400,2212,02-12-2024
244,Latur,,Jowar(Sorghum),2026,2371,2198,26-11-2024
245,Latur,,Jowar(Sorghum),2050,2200,2125,05-09-2024
