Sl no.,District Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
60,Bankura,Rice,FAQ,3350,3500,3400,24-07-2024
61,Bankura,Rice,FAQ,3350,3500,3400,01-07-2024
62,Bankura,Rice,FAQ,3500,3600,3550,23-12-2024
63,Bankura,Rice,FAQ,3300,3400,3350,07-03-2024
64,Bankura,Rice,FAQ,3350,3450,3400,21-06-2024
65,Bankura,Rice,FAQ,3250,3350,3300,11-04-2024
66,Bankura,Rice,FAQ,3250,3350,3300,04-03-2024
67,Bankura,Rice,FAQ,3250,3350,3300,22-03-2024
68,Bankura,Rice,FAQ,3350,3450,3400,10-06-2024
69,Bankura,Rice,FAQ,3550,3650,3600,27-10-2024
70,Bankura,Rice,FAQ,3250,3350,3300,12-02-2024
71,Bankura,Rice,FAQ,3200,3300,3250,17-04-2024
72,Bankura,Rice,FAQ,3500,3600,3550,28-12-2024
73,Bankura,Rice,FAQ,3250,3350,3300,14-04-2024
74,Bankura,Rice,FAQ,3250,3350,3300,17-02-2024
